ID	Name	Genes	Length
514	GO:0006397 mRNA processing	orf19.1261;orf19.2402;orf19.4538;orf19.684;orf19.3333;orf19.1548;orf19.4374;orf19.2983;orf19.4748;orf19.7047;orf19.910;orf19.763;orf19.5486;orf19.514;orf19.329;orf19.2760;orf19.7041;orf19.7375;orf19.1876;orf19.6356;orf19.6458.1;orf19.2400;orf19.5989;orf19.3178;orf19.4123;orf19.48;orf19.4659;orf19.672;orf19.7139;orf19.5391;orf19.4258;orf19.6716;orf19.1281;orf19.5885;orf19.1109;orf19.1531;orf19.5938;orf19.2112;orf19.1260;orf19.7067;orf19.7285;orf19.6259;orf19.5229;orf19.4146;orf19.674;orf19.1045;orf19.4628;orf19.444;orf19.1619;orf19.7673;orf19.6740;orf19.2105;orf19.1491;orf19.4106;orf19.5828;orf19.7265;orf19.6360;orf19.53;orf19.6831;orf19.6135.1;orf19.7620;orf19.5364;orf19.6866;orf19.4721;orf19.387;orf19.2675;orf19.1927;orf19.4875;orf19.4062;orf19.3856;orf19.144;orf19.3945;orf19.3506;orf19.3774.1;orf19.3947;orf19.2230;orf19.2639.1;orf19.4964;orf19.1771;orf19.7256;orf19.4326;orf19.6881;orf19.7509.2;orf19.325;orf19.3197;orf19.7662;orf19.5389;orf19.3037;orf19.7581;orf19.5530;orf19.581;orf19.2307;orf19.3613;orf19.1975;orf19.4305.1;orf19.1026;orf19.2261;orf19.1794;orf19.1335;orf19.2790;orf19.5276;orf19.2609;orf19.5413;orf19.6931;orf19.4855;orf19.6271;orf19.1555;orf19.1938;orf19.4205.1;orf19.5647;orf19.3666;orf19.5492;orf19.7238;orf19.3250;orf19.5541;orf19.4799;orf19.6239	117
515	GO:0006399 tRNA metabolic process	orf19.4160;orf19.4537;orf19.1305;orf19.1261;orf19.3956;orf19.2847;orf19.2831;orf19.4168;orf19.4801;orf19.2018;orf19.7460;orf19.6511;orf19.2715;orf19.3303;orf19.1387;orf19.3341;orf19.437;orf19.6701;orf19.3787;orf19.6751;orf19.4078;orf19.109;orf19.5567;orf19.5685;orf19.1753;orf19.2404;orf19.2408;orf19.1201;orf19.6727;orf19.3955;orf19.4293;orf19.2387;orf19.172;orf19.4634;orf19.1900;orf19.7041;orf19.25;orf19.7369;orf19.3265;orf19.81;orf19.6378;orf19.4582;orf19.2115;orf19.4418;orf19.6399;orf19.2676;orf19.7063;orf19.275;orf19.1304;orf19.2711;orf19.1362;orf19.6314;orf19.1295;orf19.6847;orf19.48;orf19.7081;orf19.7245;orf19.5746;orf19.927;orf19.4299;orf19.4701;orf19.5226;orf19.6903;orf19.6698;orf19.2687.1;orf19.2984;orf19.3950;orf19.269;orf19.3477;orf19.58;orf19.2324;orf19.5039;orf19.5938;orf19.2039;orf19.3798;orf19.3676;orf19.6259;orf19.6533;orf19.5229;orf19.297;orf19.500;orf19.6749;orf19.2382;orf19.5987;orf19.2137;orf19.7182;orf19.5160;orf19.2415;orf19.5425;orf19.5090;orf19.5200;orf19.6477;orf19.3476;orf19.5432;orf19.2143;orf19.2694;orf19.2042;orf19.2138;orf19.1565;orf19.1404;orf19.4931;orf19.5608;orf19.4399;orf19.2494;orf19.7110;orf19.3103;orf19.5847;orf19.2573;orf19.4051;orf19.5050;orf19.2407;orf19.3759;orf19.3304;orf19.168;orf19.966;orf19.1954;orf19.2385;orf19.7255;orf19.3327;orf19.4969;orf19.6548;orf19.7657;orf19.518;orf19.3177;orf19.3990;orf19.7057;orf19.7387;orf19.429;orf19.2532;orf19.3585;orf19.5365;orf19.4785;orf19.7291;orf19.3564;orf19.5038;orf19.6873.1;orf19.2795;orf19.2422;orf19.5705;orf19.3138;orf19.5530;orf19.581;orf19.7088;orf19.6297;orf19.6702;orf19.1458;orf19.1026;orf19.1029;orf19.1335;orf19.7064;orf19.5360;orf19.6340;orf19.2299;orf19.544;orf19.279;orf19.4705;orf19.2643;orf19.443;orf19.6931;orf19.4844;orf19.4478;orf19.747;orf19.1356;orf19.4092;orf19.2631;orf19.2560;orf19.3470;orf19.2960	168
516	GO:0006400 tRNA modification	orf19.4160;orf19.1305;orf19.4801;orf19.2018;orf19.7460;orf19.3303;orf19.1387;orf19.3787;orf19.6751;orf19.1753;orf19.2408;orf19.6727;orf19.4293;orf19.4634;orf19.25;orf19.7369;orf19.3265;orf19.6378;orf19.2115;orf19.4418;orf19.6399;orf19.2676;orf19.7063;orf19.2711;orf19.1362;orf19.6847;orf19.7081;orf19.7245;orf19.5746;orf19.927;orf19.4701;orf19.3477;orf19.2324;orf19.3798;orf19.3676;orf19.500;orf19.5987;orf19.7182;orf19.5160;orf19.5090;orf19.5200;orf19.6477;orf19.3476;orf19.2143;orf19.2042;orf19.1565;orf19.1404;orf19.4399;orf19.7110;orf19.5050;orf19.3759;orf19.966;orf19.1954;orf19.2385;orf19.3327;orf19.6548;orf19.518;orf19.3177;orf19.7387;orf19.429;orf19.3585;orf19.5365;orf19.7291;orf19.5038;orf19.6873.1;orf19.7088;orf19.6297;orf19.1458;orf19.2299;orf19.4844;orf19.747;orf19.1356;orf19.2631;orf19.3470	74
517	GO:0006401 RNA catabolic process	orf19.4010;orf19.967;orf19.3593;orf19.4045;orf19.4168;orf19.6562;orf19.639;orf19.145;orf19.4519;orf19.5277;orf19.4078;orf19.1378;orf19.5567;orf19.5381;orf19.1084;orf19.2340;orf19.2404;orf19.6230;orf19.7076;orf19.864;orf19.81;orf19.2012;orf19.4681;orf19.4582;orf19.7034;orf19.6373;orf19.275;orf19.5734;orf19.1304;orf19.5068;orf19.6901;orf19.5440;orf19.5550;orf19.6197;orf19.5227;orf19.5107;orf19.3792;orf19.58;orf19.794;orf19.5039;orf19.4962;orf19.1525;orf19.6259;orf19.5229;orf19.5564;orf19.6425;orf19.3052;orf19.6133;orf19.5182;orf19.1932;orf19.327;orf19.3624;orf19.5067;orf19.3960;orf19.1795;orf19.5614;orf19.7198;orf19.4848;orf19.939;orf19.3796;orf19.387;orf19.547;orf19.3304;orf19.3506;orf19.4080;orf19.168;orf19.5563;orf19.2440;orf19.2639.1;orf19.4969;orf19.7657;orf19.2973;orf19.7144;orf19.429;orf19.2419;orf19.2465;orf19.5334;orf19.3347;orf19.5101;orf19.1802;orf19.7290;orf19.3197;orf19.171;orf19.4764;orf19.5833;orf19.1439;orf19.7626;orf19.5530;orf19.2309;orf19.581;orf19.3926;orf19.1026;orf19.423;orf19.1029;orf19.1335;orf19.3978;orf19.4262;orf19.1309;orf19.5651;orf19.4243;orf19.4844;orf19.7368;orf19.6075;orf19.2434;orf19.7059;orf19.3910;orf19.5764;orf19.5552	108
518	GO:0006402 mRNA catabolic process	orf19.4010;orf19.4045;orf19.4168;orf19.639;orf19.145;orf19.5277;orf19.4078;orf19.1378;orf19.5567;orf19.5381;orf19.1084;orf19.2404;orf19.6230;orf19.7076;orf19.864;orf19.81;orf19.2012;orf19.4681;orf19.4582;orf19.7034;orf19.6373;orf19.275;orf19.5734;orf19.1304;orf19.5068;orf19.6901;orf19.5550;orf19.6197;orf19.5227;orf19.5107;orf19.3792;orf19.58;orf19.794;orf19.4962;orf19.1525;orf19.6259;orf19.5229;orf19.6425;orf19.1932;orf19.327;orf19.5067;orf19.1795;orf19.7198;orf19.4848;orf19.939;orf19.3796;orf19.387;orf19.168;orf19.2639.1;orf19.4969;orf19.7657;orf19.2973;orf19.7144;orf19.429;orf19.2419;orf19.5334;orf19.3347;orf19.5101;orf19.1802;orf19.7290;orf19.3197;orf19.171;orf19.4764;orf19.1439;orf19.7626;orf19.5530;orf19.581;orf19.1026;orf19.423;orf19.1029;orf19.1335;orf19.4262;orf19.4243;orf19.4844;orf19.7368;orf19.6075;orf19.7059;orf19.5764	78
519	GO:0006403 RNA localization	orf19.5627;orf19.3756;orf19.1642;orf19.4560;orf19.4991;orf19.1119;orf19.3959;orf19.1795;orf19.2901;orf19.939;orf19.879;orf19.3947;orf19.1453;orf19.5595;orf19.1672;orf19.528;orf19.3467	17
520	GO:0006404 RNA import into nucleus	orf19.1065;orf19.1119;orf19.1649;orf19.3861;orf19.1229;orf19.506	6
521	GO:0006405 RNA export from nucleus	orf19.200;orf19.900;orf19.4336;orf19.3333;orf19.145;orf19.2665;orf19.1526;orf19.7332;orf19.2179.2;orf19.1396;orf19.3628;orf19.3122.2;orf19.7076;orf19.6795;orf19.3823;orf19.5927;orf19.1470;orf19.6891;orf19.1259;orf19.1355;orf19.2857;orf19.7034;orf19.3062;orf19.488;orf19.3603;orf19.4123;orf19.2423;orf19.3552;orf19.5493;orf19.5930;orf19.3349;orf19.4627;orf19.3792;orf19.964;orf19.2222;orf19.5765;orf19.2473;orf19.1298;orf19.5710;orf19.6425;orf19.3744;orf19.1045;orf19.4683;orf19.7177;orf19.6665;orf19.7477;orf19.7441;orf19.5834;orf19.4518;orf19.3473;orf19.474;orf19.3291;orf19.2901;orf19.1661;orf19.1569;orf19.6252;orf19.4848;orf19.190;orf19.5040;orf19.3000;orf19.1095;orf19.3334;orf19.1649;orf19.6975;orf19.5342.1;orf19.2002;orf19.4987;orf19.748;orf19.7136;orf19.4906;orf19.5887;orf19.1697;orf19.422;orf19.7433;orf19.7048.1;orf19.382;orf19.1435;orf19.7454;orf19.7018;orf19.587;orf19.4033;orf19.6260;orf19.2215;orf19.7483;orf19.5276;orf19.6171;orf19.1555;orf19.6309;orf19.470;orf19.7153;orf19.5085;orf19.5647;orf19.5184;orf19.5917.3;orf19.6312;orf19.2582;orf19.5436;orf19.5996.1;orf19.7238;orf19.5507;orf19.5155;orf19.4808;orf19.3467;orf19.1883	104
522	GO:0006406 mRNA export from nucleus	orf19.200;orf19.900;orf19.3333;orf19.145;orf19.1526;orf19.7332;orf19.1396;orf19.3628;orf19.3122.2;orf19.7076;orf19.6795;orf19.3823;orf19.6891;orf19.1259;orf19.2857;orf19.7034;orf19.3062;orf19.488;orf19.3603;orf19.4123;orf19.2423;orf19.3552;orf19.5493;orf19.5930;orf19.3349;orf19.4627;orf19.3792;orf19.964;orf19.2222;orf19.5765;orf19.2473;orf19.1298;orf19.5710;orf19.6425;orf19.1045;orf19.4683;orf19.7177;orf19.6665;orf19.7441;orf19.5834;orf19.4518;orf19.3473;orf19.474;orf19.3291;orf19.2901;orf19.1661;orf19.6252;orf19.4848;orf19.190;orf19.5040;orf19.3000;orf19.1095;orf19.5342.1;orf19.2002;orf19.4987;orf19.748;orf19.7136;orf19.4906;orf19.5887;orf19.1697;orf19.422;orf19.7433;orf19.7454;orf19.587;orf19.4033;orf19.6260;orf19.2215;orf19.7483;orf19.5276;orf19.6171;orf19.1555;orf19.6309;orf19.470;orf19.5085;orf19.5647;orf19.5184;orf19.5917.3;orf19.2582;orf19.7238;orf19.5507;orf19.5155;orf19.4808;orf19.3467;orf19.1883	84
523	GO:0006407 rRNA export from nucleus	orf19.4336;orf19.2179.2;orf19.5927;orf19.1470;orf19.3334;orf19.1649;orf19.6975;orf19.7048.1;orf19.7018;orf19.5184;orf19.6312;orf19.5996.1	12
524	GO:0006409 tRNA export from nucleus	orf19.900;orf19.2665;orf19.1355;orf19.3552;orf19.3744;orf19.1661;orf19.1569;orf19.1649;orf19.4987;orf19.748;orf19.7433;orf19.382;orf19.1435;orf19.2215;orf19.7153;orf19.5436	16
525	GO:0006412 translation	orf19.4273;orf19.4160;orf19.3367;orf19.5143;orf19.3465;orf19.3350;orf19.2309.2;orf19.1485;orf19.967;orf19.4577.3;orf19.414;orf19.4839;orf19.7538;orf19.1059;orf19.3956;orf19.3240;orf19.3205;orf19.439;orf19.2237;orf19.1988;orf19.4592;orf19.4689;orf19.5665;orf19.4336;orf19.2994.1;orf19.6629;orf19.4857;orf19.1249;orf19.1203.1;orf19.6085;orf19.1967;orf19.6010.1;orf19.5792;orf19.6099;orf19.5280;orf19.3946;orf19.5294;orf19.4932;orf19.2310.1;orf19.3577;orf19.7655;orf19.6818;orf19.4600.1;orf19.6403.1;orf19.5064;orf19.1742;orf19.755;orf19.437;orf19.7222;orf19.6610;orf19.2871;orf19.6404;orf19.3972;orf19.7217;orf19.913.2;orf19.2438;orf19.4684.2;orf19.4635;orf19.3209;orf19.6751;orf19.3761;orf19.5225.2;orf19.1378;orf19.6696;orf19.1545;orf19.6010;orf19.3462;orf19.827.1;orf19.3438;orf19.4811;orf19.4406;orf19.2711.1;orf19.5650;orf19.2650.1;orf19.549;orf19.1996;orf19.3223;orf19.6022;orf19.2275;orf19.819;orf19.4704;orf19.3532;orf19.3087;orf19.2992;orf19.4293;orf19.4079;orf19.7577;orf19.2310;orf19.3693;orf19.3574;orf19.6541;orf19.6295;orf19.6231;orf19.514;orf19.6569;orf19.5137.1;orf19.576;orf19.4740;orf19.465;orf19.2387;orf19.5231.2;orf19.3358;orf19.5927;orf19.639.1;orf19.150;orf19.233.1;orf19.5505;orf19.3757;orf19.1860;orf19.3732;orf19.4931.1;orf19.4007;orf19.4688;orf19.6898.1;orf19.3415.1;orf19.6924;orf19.6007;orf19.7517;orf19.6656;orf19.4306;orf19.7427;orf19.6938;orf19.3181.1;orf19.1470;orf19.3691;orf19.5486.1;orf19.4468;orf19.6524;orf19.118;orf19.6458.1;orf19.5466;orf19.6415.1;orf19.3400;orf19.3061;orf19.6906;orf19.4418;orf19.1061;orf19.2785;orf19.4176;orf19.5904;orf19.3268;orf19.2707.1;orf19.5491.1;orf19.2746;orf19.3097;orf19.2352;orf19.2250;orf19.4660;orf19.1549;orf19.7386;orf19.2158;orf19.3980;orf19.6060;orf19.1295;orf19.5281;orf19.5926;orf19.5660.1;orf19.401;orf19.3003.1;orf19.6901;orf19.585;orf19.48;orf19.5420;orf19.5747;orf19.1635;orf19.341;orf19.7245;orf19.1799;orf19.3965;orf19.2489;orf19.5746;orf19.4197;orf19.930;orf19.2478.1;orf19.6828.1;orf19.4299;orf19.2439.1;orf19.6129;orf19.7203;orf19.7069;orf19.3812;orf19.1232;orf19.4627;orf19.1303;orf19.2378;orf19.5885;orf19.2984;orf19.242.2;orf19.3950;orf19.3289;orf19.7613;orf19.2091;orf19.185;orf19.2286;orf19.3480;orf19.2324;orf19.543;orf19.6882.1;orf19.3182;orf19.6531.1;orf19.2782;orf19.5791;orf19.6406;orf19.6599.1;orf19.2039;orf19.7509.1;orf19.3244;orf19.3577.1;orf19.898;orf19.946;orf19.3064;orf19.3089;orf19.7486;orf19.5654;orf19.7082;orf19.1428;orf19.6533;orf19.5418;orf19.4146;orf19.6538;orf19.446.1;orf19.4885;orf19.3977;orf19.6794;orf19.3797;orf19.236;orf19.1761;orf19.1682;orf19.6587;orf19.1598;orf19.5484;orf19.5161;orf19.657;orf19.2382;orf19.484;orf19.6220.4;orf19.1969;orf19.3942.1;orf19.1155;orf19.7549;orf19.444;orf19.3249;orf19.6375;orf19.6264.3;orf19.327;orf19.7673;orf19.1872;orf19.7563;orf19.3696;orf19.3810;orf19.6699;orf19.4495;orf19.4159;orf19.2415;orf19.2798;orf19.6008.4;orf19.7590;orf19.588;orf19.685;orf19.3938;orf19.6662;orf19.961.2;orf19.2249;orf19.240;orf19.3076;orf19.5027;orf19.6873;orf19.183;orf19.3035;orf19.6812;orf19.6374;orf19.4193.1;orf19.2953;orf19.5071;orf19.3942;orf19.1782;orf19.4149.1;orf19.6136;orf19.124;orf19.4954;orf19.3504;orf19.2644;orf19.4499;orf19.5698;orf19.4018;orf19.2214;orf19.446.2;orf19.6452;orf19.2138;orf19.6135.1;orf19.2951;orf19.7019;orf19.6265;orf19.3572.3;orf19.2318.1;orf19.477;orf19.1650;orf19.5750;orf19.4826;orf19.5433;orf19.2821;orf19.5195;orf19.2087;orf19.5279;orf19.4721;orf19.1631;orf19.7015;orf19.2494;orf19.6653;orf19.3688;orf19.5006;orf19.3788.1;orf19.3261;orf19.2907.1;orf19.6264.4;orf19.5263;orf19.5296;orf19.586;orf19.6526;orf19.6118;orf19.3789;orf19.772;orf19.5211;orf19.4875;orf19.182;orf19.6585;orf19.6220.3;orf19.4909.1;orf19.6837;orf19.4096;orf19.596.2;orf19.3325.3;orf19.493;orf19.4051;orf19.1140;orf19.5419;orf19.7218;orf19.3290;orf19.3736;orf19.863;orf19.4765;orf19.2201;orf19.4889;orf19.3061.1;orf19.2347;orf19.3895;orf19.6343;orf19.3334;orf19.5230;orf19.3556;orf19.5964.2;orf19.2150;orf19.4023;orf19.3354;orf19.2977;orf19.2384;orf19.5893;orf19.3774.1;orf19.4751.1;orf19.4311;orf19.6532;orf19.947;orf19.492;orf19.3947;orf19.3686;orf19.6975;orf19.3590;orf19.7049;orf19.7255;orf19.3432.1;orf19.2232;orf19.4437;orf19.2852;orf19.7489.3;orf19.7256;orf19.2019;orf19.3002;orf19.390;orf19.7202;orf19.4301;orf19.3722;orf19.3022;orf19.5201;orf19.2611;orf19.908;orf19.4490;orf19.6632;orf19.2178;orf19.7654;orf19.2419;orf19.1552;orf19.2259;orf19.5083;orf19.2454;orf19.4884;orf19.4375.1;orf19.412;orf19.1956;orf19.7017;orf19.330.1;orf19.1710;orf19.3348;orf19.2416.1;orf19.7290;orf19.4910;orf19.840;orf19.6565;orf19.6062.3;orf19.7012;orf19.154;orf19.2471;orf19.3893;orf19.6531;orf19.6367;orf19.7485;orf19.596.1;orf19.5341;orf19.287;orf19.7409.1;orf19.1357;orf19.3558;orf19.5684;orf19.7188;orf19.2329.1;orf19.1697;orf19.5705;orf19.5156;orf19.7035;orf19.2111.2;orf19.6925;orf19.4118;orf19.4845;orf19.1804;orf19.1770;orf19.7048.1;orf19.4426;orf19.3777;orf19.2360;orf19.6265.1;orf19.7484;orf19.3423;orf19.4016;orf19.679;orf19.1409.1;orf19.5063;orf19.6503;orf19.7675;orf19.4758;orf19.6570;orf19.1435;orf19.7018;orf19.587;orf19.4022;orf19.4211;orf19.5515;orf19.4001;orf19.1989;orf19.838.1;orf19.6253;orf19.423;orf19.392;orf19.397;orf19.7678;orf19.1064;orf19.4177;orf19.5213.2;orf19.3704.1;orf19.1794;orf19.6563.1;orf19.7495;orf19.2864.1;orf19.3964;orf19.413.1;orf19.1613;orf19.7421;orf19.2790;orf19.5178;orf19.637;orf19.155;orf19.667.1;orf19.2570;orf19.1273;orf19.3391;orf19.5167;orf19.837;orf19.6047;orf19.1577;orf19.6183;orf19.6137;orf19.1052;orf19.4705;orf19.5928;orf19.6887;orf19.4240;orf19.5779;orf19.1854;orf19.1750;orf19.941;orf19.3031;orf19.5104;orf19.2013;orf19.3622;orf19.3321;orf19.1700;orf19.119;orf19.5629;orf19.3579;orf19.4205.1;orf19.7363;orf19.7153;orf19.1352;orf19.4651;orf19.1471;orf19.5164;orf19.687.1;orf19.1625;orf19.4632;orf19.6424;orf19.1051;orf19.7631;orf19.7426;orf19.4190;orf19.4606;orf19.6286.2;orf19.458;orf19.3951;orf19.6312;orf19.5861;orf19.6785;orf19.5996.1;orf19.5693;orf19.4396;orf19.1601;orf19.6515;orf19.2322.3;orf19.3690.2;orf19.3755;orf19.2994;orf19.2560;orf19.4674.1;orf19.828;orf19.4490.2;orf19.6405;orf19.688;orf19.760;orf19.4623.3;orf19.3057;orf19.6293;orf19.989;orf19.2640;orf19.6461;orf19.4620;orf19.4879.2;orf19.2168.3;orf19.2520;orf19.6916;orf19.2036;orf19.558	558
526	GO:0006413 translational initiation	orf19.4635;orf19.3034;orf19.6345;orf19.3914;orf19.6776;orf19.7613;orf19.185;orf19.407;orf19.6584;orf19.6982;orf19.500;orf19.1619;orf19.3324;orf19.6904;orf19.825;orf19.4517;orf19.3599;orf19.4533;orf19.481;orf19.5081;orf19.7392;orf19.4969;orf19.2852;orf19.2967;orf19.4164;orf19.7236;orf19.3861;orf19.7626;orf19.3423;orf19.4223;orf19.5167;orf19.4283;orf19.2930;orf19.5351;orf19.7254	35
527	GO:0006414 translational elongation	orf19.4932;orf19.6403.1;orf19.5064;orf19.3838;orf19.2992;orf19.7382;orf19.6906;orf19.2652;orf19.3812;orf19.1217;orf19.7015;orf19.5788;orf19.4152;orf19.2709;orf19.4503;orf19.499;orf19.6367;orf19.7188;orf19.382;orf19.1435;orf19.5943.1;orf19.3426;orf19.6047;orf19.5928;orf19.2651;orf19.2582;orf19.1864	27
528	GO:0006415 translational termination	orf19.1378;orf19.3034;orf19.5488;orf19.1303;orf19.3541;orf19.425;orf19.1661;orf19.4152;orf19.7236;orf19.2935;orf19.1802;orf19.5812;orf19.7238	13
529	GO:0006417 regulation of translation	orf19.5350;orf19.4045;orf19.6858;orf19.4775;orf19.3333;orf19.2018;orf19.6085;orf19.4760;orf19.6511;orf19.145;orf19.3838;orf19.6250;orf19.5277;orf19.4432;orf19.4078;orf19.1378;orf19.5381;orf19.1084;orf19.7332;orf19.1041;orf19.7577;orf19.3034;orf19.3547;orf19.4427;orf19.2721;orf19.4261;orf19.7382;orf19.81;orf19.6378;orf19.1642;orf19.7034;orf19.6906;orf19.4173;orf19.5459;orf19.7386;orf19.3980;orf19.6060;orf19.2277;orf19.6197;orf19.5678;orf19.6776;orf19.2191;orf19.6494;orf19.3792;orf19.58;orf19.1124.2;orf19.407;orf19.3182;orf19.6259;orf19.4991;orf19.6913;orf19.5942;orf19.1619;orf19.3324;orf19.6904;orf19.285;orf19.5808;orf19.825;orf19.3959;orf19.1795;orf19.5207;orf19.3599;orf19.6810;orf19.5854;orf19.1238;orf19.939;orf19.702;orf19.5788;orf19.481;orf19.5081;orf19.839;orf19.7392;orf19.2201;orf19.3334;orf19.3759;orf19.4969;orf19.5328;orf19.518;orf19.7187;orf19.499;orf19.7144;orf19.2654;orf19.230;orf19.7387;orf19.429;orf19.2419;orf19.6790;orf19.3347;orf19.5101;orf19.3348;orf19.5483;orf19.1802;orf19.7290;orf19.171;orf19.7626;orf19.6873.1;orf19.331;orf19.3037;orf19.7048.1;orf19.102;orf19.895;orf19.5943.1;orf19.5515;orf19.3426;orf19.4223;orf19.838.1;orf19.2215;orf19.4529;orf19.1794;orf19.6563.1;orf19.1335;orf19.4262;orf19.4796;orf19.6075;orf19.3449;orf19.1683;orf19.73;orf19.7238;orf19.6676;orf19.4929;orf19.1936	121
530	GO:0006418 tRNA aminoacylation for protein translation	orf19.3341;orf19.437;orf19.6701;orf19.109;orf19.5685;orf19.1201;orf19.3955;orf19.2387;orf19.1295;orf19.5746;orf19.4299;orf19.5226;orf19.6698;orf19.2984;orf19.3950;orf19.269;orf19.2039;orf19.6533;orf19.6749;orf19.2382;orf19.2415;orf19.2694;orf19.2138;orf19.4931;orf19.2573;orf19.4051;orf19.2407;orf19.7057;orf19.2532;orf19.2422;orf19.5705;orf19.6702;orf19.7064;orf19.4478;orf19.2560;orf19.2960	36
531	GO:0006419 alanyl-tRNA aminoacylation	orf19.5746	1
532	GO:0006420 arginyl-tRNA aminoacylation	orf19.3341	1
533	GO:0006421 asparaginyl-tRNA aminoacylation	orf19.6698;orf19.6702	2
534	GO:0006422 aspartyl-tRNA aminoacylation	orf19.2407;orf19.4478	2
535	GO:0006423 cysteinyl-tRNA aminoacylation	orf19.4931	1
536	GO:0006424 glutamyl-tRNA aminoacylation	orf19.2415;orf19.7057	2
537	GO:0006425 glutaminyl-tRNA aminoacylation	orf19.7064	1
538	GO:0006426 glycyl-tRNA aminoacylation	orf19.437	1
539	GO:0006427 histidyl-tRNA aminoacylation	orf19.4051	1
540	GO:0006428 isoleucyl-tRNA aminoacylation	orf19.2382;orf19.2138	2
541	GO:0006429 leucyl-tRNA aminoacylation	orf19.5705;orf19.2560	2
542	GO:0006430 lysyl-tRNA aminoacylation	orf19.6533;orf19.6749	2
543	GO:0006431 methionyl-tRNA aminoacylation	orf19.3955;orf19.3950	2
544	GO:0006432 phenylalanyl-tRNA aminoacylation	orf19.2039;orf19.2573;orf19.2960	3
545	GO:0006433 prolyl-tRNA aminoacylation	orf19.6701;orf19.2387;orf19.2532	3
546	GO:0006434 seryl-tRNA aminoacylation	orf19.1201;orf19.269	2
547	GO:0006435 threonyl-tRNA aminoacylation	orf19.5685;orf19.2984	2
548	GO:0006436 tryptophanyl-tRNA aminoacylation	orf19.4299;orf19.5226	2
549	GO:0006437 tyrosyl-tRNA aminoacylation	orf19.109;orf19.2694	2
550	GO:0006438 valyl-tRNA aminoacylation	orf19.1295	1
551	GO:0006446 regulation of translational initiation	orf19.145;orf19.6250;orf19.2721;orf19.4261;orf19.6776;orf19.3792;orf19.407;orf19.4991;orf19.6913;orf19.3324;orf19.6904;orf19.825;orf19.3599;orf19.481;orf19.5081;orf19.7392;orf19.5328;orf19.2654;orf19.3347;orf19.7626;orf19.3037;orf19.895;orf19.5943.1;orf19.3426;orf19.2215;orf19.4929	26
552	GO:0006448 regulation of translational elongation	orf19.2018;orf19.6378;orf19.6906;orf19.4173;orf19.6060;orf19.6197;orf19.5678;orf19.2191;orf19.1124.2;orf19.5207;orf19.5788;orf19.839;orf19.3759;orf19.5328;orf19.7387;orf19.6873.1;orf19.3426;orf19.4529;orf19.6676	19
553	GO:0006449 regulation of translational termination	orf19.3838;orf19.7332;orf19.7382;orf19.5942;orf19.5808;orf19.939;orf19.702;orf19.3426;orf19.2215	9
554	GO:0006450 regulation of translational fidelity	orf19.5350;orf19.4760;orf19.1041;orf19.3812;orf19.1619;orf19.3572.3;orf19.3334;orf19.3759;orf19.2709;orf19.7387;orf19.1802;orf19.6367;orf19.1280;orf19.7088;orf19.4223;orf19.838.1;orf19.6253	17
555	GO:0006451 translational readthrough	orf19.499	1
556	GO:0006452 translational frameshifting	orf19.3812;orf19.2709;orf19.6367;orf19.3426	4
557	GO:0006457 protein folding	orf19.3592;orf19.7417;orf19.717;orf19.1738.1;orf19.2444;orf19.6099;orf19.6672;orf19.3396;orf19.3438;orf19.1896;orf19.4587;orf19.670;orf19.5130;orf19.3307;orf19.1252;orf19.4952.1;orf19.5749;orf19.3272;orf19.401;orf19.2435;orf19.7215.3;orf19.2335;orf19.6082;orf19.2199;orf19.3812;orf19.6917;orf19.6472;orf19.6408;orf19.5985;orf19.3126;orf19.6029;orf19.2828;orf19.4980;orf19.2104;orf19.1065;orf19.3170;orf19.5300;orf19.3206;orf19.6601.1;orf19.6452;orf19.641;orf19.3920;orf19.7602;orf19.7646;orf19.357;orf19.882;orf19.2288;orf19.6990;orf19.954;orf19.4566;orf19.2977;orf19.5005;orf19.2720;orf19.5531;orf19.2709;orf19.7654;orf19.1552;orf19.3861;orf19.251;orf19.2499;orf19.2471;orf19.5973;orf19.6367;orf19.6052;orf19.506;orf19.1030;orf19.2925;orf19.2524;orf19.1402;orf19.2305;orf19.2510;orf19.7421;orf19.4004;orf19.3366;orf19.1273;orf19.2013;orf19.3192;orf19.6387;orf19.1769;orf19.3687;orf19.6515;orf19.2921;orf19.4871;orf19.1813	84
558	GO:0006458 'de novo' protein folding	orf19.717;orf19.6672;orf19.1896;orf19.3812;orf19.6029;orf19.4980;orf19.1065;orf19.4566;orf19.2709;orf19.3861;orf19.6367;orf19.506;orf19.6387	13
559	GO:0006465 signal peptide processing	orf19.2057;orf19.5542;orf19.3259;orf19.1795.1;orf19.5714;orf19.4930;orf19.1643;orf19.3708;orf19.1669;orf19.6001;orf19.4181	11
